"customer_id","account_num","lname","fname","mi","address1","address2","address3","address4","city","state_province","postal_code","country","customer_region_id","phone1","phone2","birthdate","marital_status","yearly_income","gender","total_children","num_children_at_home","education","date_accnt_opened","member_card","occupation","houseowner","num_cars_owned"
11,87572821378.00,"Murraiin","Jonathan","V.","5423 Camby Rd.",,,,"La Mesa","CA","35890","USA",11,"612-555-4878","747-555-6928",1967/6/20 00:00:00,"S","$50K - $70K","M",4,0,"High School Degree",1992/4/23 00:00:00,"Bronze","Manual","N",2
12,87579237222.00,"Creek","Jewel","C.","1792 Belmont Rd.",,,,"Chula Vista","CA","40520","USA",13,"555-555-2714","228-555-5450",1971/10/18 00:00:00,"S","$30K - $50K","F",1,0,"High School Degree",1991/7/6 00:00:00,"Bronze","Skilled Manual","N",3
13,87587122917.00,"Medina","Peggy","A.","3796 Keller Ridge",,,,"Mexico City","Mexico","59554","Mexico",2,"343-555-9778","785-555-2371",1975/10/12 00:00:00,"S","$30K - $50K","M",4,0,"High School Degree",1990/10/9 00:00:00,"Bronze","Manual","N",4
14,87592626810.00,"Rutledge","Bryan","K.","3074 Ardith Drive",,,,"Lincoln Acres","CA","30346","USA",10,"659-555-3160","640-555-5439",1912/7/9 00:00:00,"M","$50K - $70K","F",2,2,"Bachelors Degree",1992/10/19 00:00:00,"Bronze","Management","Y",2
15,87597749829.00,"Cavestany","Walter","G.","7987 Seawind Dr.",,,,"Oak Bay","BC","15542","Canada",99,"471-555-8853","560-555-4646",1941/11/5 00:00:00,"S","$90K - $110K","M",3,0,"Graduate Degree",1991/8/9 00:00:00,"Bronze","Professional","Y",3
16,87603285908.00,"Planck","Peggy","M.","4864 San Carlos",,,,"Camacho","Zacatecas","77787","Mexico",27,"698-555-7603","986-555-9424",1919/6/2 00:00:00,"M","$50K - $70K","F",2,2,"High School Degree",1993/12/17 00:00:00,"Bronze","Skilled Manual","Y",2
17,87625473141.00,"Marshall","Brenda","S.","2687 Ridge Road",,,,"Arcadia","CA","28530","USA",51,"771-555-6581","929-555-7260",1928/3/20 00:00:00,"S","$90K - $110K","M",3,0,"High School Degree",1993/10/23 00:00:00,"Bronze","Management","Y",3
18,87637655735.00,"Wolter","Daniel","P.","2473 Orchard Way",,,,"Altadena","CA","49680","USA",50,"121-555-3960","717-555-5324",1914/9/21 00:00:00,"M","$30K - $50K","M",3,2,"Partial College",1992/10/24 00:00:00,"Bronze","Professional","Y",4
19,87650814652.00,"Collins","Dianne",,"551 Rainier Dr",,,,"Oakland","CA","21486","USA",37,"217-555-1567","921-555-5446",1953/7/20 00:00:00,"S","$70K - $90K","F",1,0,"High School Degree",1992/9/21 00:00:00,"Bronze","Professional","N",1
20,87653979700.00,"Baker","Beverly",,"591 Merriewood Drive",,,,"Spring Valley","CA","88762","USA",15,"617-555-7972","860-555-3536",1974/4/16 00:00:00,"S","$10K - $30K","F",2,0,"Partial High School",1993/4/2 00:00:00,"Normal","Manual","Y",2
21,87663244009.00,"Castillo","Pedro",,"1579 Plaza Rosa",,,,"Renton","WA","71442","USA",73,"975-555-7865","187-555-2286",1918/11/4 00:00:00,"S","$30K - $50K","M",1,0,"High School Degree",1992/4/26 00:00:00,"Normal","Manual","Y",2
22,87675641200.00,"Borges","Laurie",,"1873 Lyon Circle",,,,"Bellingham","WA","78588","USA",78,"610-555-6158","921-555-6608",1947/10/7 00:00:00,"M","$30K - $50K","F",4,4,"High School Degree",1991/8/8 00:00:00,"Golden","Skilled Manual","Y",4
23,87678398489.00,"Wyro","Shauna","K.","3114 Notre Dame Ave.",,,,"La Jolla","CA","27430","USA",33,"444-555-1517","625-555-9824",1916/10/24 00:00:00,"S","$30K - $50K","F",2,0,"High School Degree",1992/8/12 00:00:00,"Silver","Manual","N",3
24,87681713700.00,"Wyllie","Jacqueline",,"6318 Marclair Dr.",,,,"Santa Fe","DF","99737","Mexico",109,"102-555-7439","721-555-7431",1921/12/4 00:00:00,"S","$30K - $50K","F",0,0,"High School Degree",1991/5/19 00:00:00,"Bronze","Manual","N",3
25,87686740159.00,"Conley","Lin","N.","7814 Milburn Dr.",,,,"Haney","BC","65710","Canada",93,"506-555-4589","333-555-7096",1952/9/26 00:00:00,"S","$70K - $90K","F",3,0,"High School Degree",1991/11/18 00:00:00,"Bronze","Professional","N",2
26,87691326700.00,"Bernard","Jose",,"3928 San Francisco",,,,"Burbank","CA","51809","USA",53,"425-555-3796","452-555-3332",1954/8/25 00:00:00,"S","$10K - $30K","M",0,0,"Partial High School",1992/9/21 00:00:00,"Normal","Skilled Manual","N",1
27,87700161933.00,"Macaluso","Charles","B.","5678 McElroy Court",,,,"Anacortes","WA","58052","USA",79,"852-555-8574","986-555-1624",1934/3/17 00:00:00,"M","$30K - $50K","F",1,1,"High School Degree",1991/10/21 00:00:00,"Bronze","Manual","Y",3
28,87709978818.00,"Wood","Lois","M.","2046 Las Palmas",,,,"Everett","WA","88974","USA",81,"794-555-6410","467-555-9146",1970/3/12 00:00:00,"S","$10K - $30K","F",1,0,"Partial High School",1993/9/28 00:00:00,"Silver","Manual","Y",1
29,87717585563.00,"Armstrong","Kevin","A.","608 Lincoln Dr.",,,,"Oak Bay","BC","90098","Canada",99,"583-555-4474","125-555-6067",1937/10/4 00:00:00,"S","$10K - $30K","F",2,0,"Partial High School",1993/9/1 00:00:00,"Normal","Manual","N",1
30,87718932032.00,"Goldey","Cody","A.","7230 Berrellesa Street",,,,"Milwaukie","OR","78800","USA",65,"548-555-9939","529-555-3217",1917/7/8 00:00:00,"S","$50K - $70K","F",4,0,"Bachelors Degree",1993/5/9 00:00:00,"Bronze","Professional","Y",3
31,87729650139.00,"Nickell","Paula","B.","2144 San Rafael",,,,"Concord","CA","63996","USA",46,"598-555-1289","448-555-2424",1978/7/2 00:00:00,"M","$50K - $70K","F",4,3,"Graduate Degree",1991/2/6 00:00:00,"Golden","Professional","Y",3
32,87738383412.00,"Long","Eric","J.","1676 Greer Ave.",,,,"Ladner","BC","99949","Canada",96,"937-555-2299","326-555-4120",1930/1/8 00:00:00,"S","$10K - $30K","F",2,0,"Partial High School",1991/6/23 00:00:00,"Normal","Manual","Y",2
33,87742803692.00,"Solimena","Mary","K.","6843 San Simeon Dr.",,,,"Santa Cruz","CA","51307","USA",40,"111-555-1278","268-555-1956",1971/7/23 00:00:00,"M","$30K - $50K","F",2,2,"High School Degree",1992/8/15 00:00:00,"Bronze","Skilled Manual","N",2
34,87767067000.00,"Muenich","Nathan",,"6629 Polson Circle",,,,"La Mesa","CA","53422","USA",11,"361-555-7656","957-555-9020",1919/10/21 00:00:00,"M","$50K - $70K","F",3,1,"Bachelors Degree",1990/2/27 00:00:00,"Silver","Management","Y",2
35,87771052718.00,"Young","Ed",,"Rt. 470 Box A",,,,"Merida","Yucatan","69940","Mexico",26,"457-555-5263","261-555-9142",1920/4/17 00:00:00,"M","$30K - $50K","M",5,1,"Partial College",1992/9/21 00:00:00,"Bronze","Skilled Manual","Y",3
36,87788449525.00,"Arnold","Donna","K.","7403 N. Broadway",,,,"Oregon City","OR","38217","USA",68,"969-555-4928","972-555-5835",1915/11/22 00:00:00,"S","$10K - $30K","M",1,0,"Partial High School",1990/6/24 00:00:00,"Normal","Skilled Manual","N",1
37,87797676324.00,"Cooper","Jennifer","K.","5734 Ashford Court",,,,"Seattle","WA","93604","USA",18,"188-555-1163","299-555-4585",1961/4/6 00:00:00,"S","$50K - $70K","M",0,0,"Bachelors Degree",1992/6/2 00:00:00,"Bronze","Professional","N",3
38,87801286578.00,"Petty","Peggy","J.","8684 Military East",,,,"Arcadia","CA","28043","USA",51,"722-555-8456","134-555-8906",1958/4/9 00:00:00,"S","$30K - $50K","M",1,0,"Partial College",1993/6/8 00:00:00,"Bronze","Management","N",1
39,87808394432.00,"Olguin","Jessica","A.","7270 Pepperidge Way",,,,"Lebanon","OR","49592","USA",72,"203-555-6978","384-555-6285",1959/1/23 00:00:00,"M","$90K - $110K","F",4,2,"Graduate Degree",1992/3/10 00:00:00,"Bronze","Professional","Y",2
40,87814209461.00,"Burchett","Phyllis",,"475 Santa Maria",,,,"Santa Cruz","CA","49192","USA",40,"761-555-3899","719-555-7549",1926/10/27 00:00:00,"S","$110K - $130K","M",1,0,"Partial College",1992/8/14 00:00:00,"Bronze","Professional","Y",2
41,87818307900.00,"Bechard","Howard",,"1970 Napa Ct.",,,,"W. Linn","OR","36903","USA",66,"616-555-6966","443-555-9474",1919/4/19 00:00:00,"S","$110K - $130K","M",1,0,"High School Degree",1990/10/10 00:00:00,"Bronze","Professional","N",2
42,87849287390.00,"Carter","Doris","M.","8084 Cardiff Drive",,,,"San Andres","DF","94169","Mexico",106,"535-555-6174","562-555-5709",1965/3/27 00:00:00,"M","$70K - $90K","F",3,3,"Bachelors Degree",1993/7/21 00:00:00,"Golden","Management","Y",3
43,87855359911.00,"Sharp","Juanita","D.","9833 Mt. Dias Blv.",,,,"Burbank","CA","48042","USA",53,"962-555-1952","196-555-4002",1977/5/16 00:00:00,"S","$50K - $70K","F",2,0,"Bachelors Degree",1993/3/19 00:00:00,"Bronze","Professional","N",4
44,87868926525.00,"Brunner","Sandra","B.","6202 Seeno St.",,,,"Bellflower","CA","52673","USA",55,"904-555-8788","577-555-2523",1917/5/20 00:00:00,"S","$30K - $50K","M",1,0,"High School Degree",1992/1/7 00:00:00,"Bronze","Skilled Manual","Y",2
45,87869548800.00,"Staton","Ernest",,"862 The Alameda",,,,"Renton","WA","71706","USA",73,"693-555-6852","235-555-8445",1916/8/9 00:00:00,"S","$50K - $70K","M",5,0,"Bachelors Degree",1994/5/7 00:00:00,"Golden","Management","Y",2
46,87894418239.00,"Sims","Rose","M.","7484 Roundtree Drive",,,,"Mill Valley","CA","68791","USA",38,"658-555-3316","639-555-5595",1928/2/10 00:00:00,"M","$70K - $90K","F",1,1,"Graduate Degree",1992/11/22 00:00:00,"Silver","Professional","N",2
47,87894944000.00,"De Carlo","Lauretta","E.","5053 Loftus Road",,,,"Oak Bay","BC","53986","Canada",99,"708-555-3666","558-555-4802",1951/9/1 00:00:00,"M","$50K - $70K","M",0,0,"Bachelors Degree",1992/5/17 00:00:00,"Bronze","Professional","N",1
48,87901939153.00,"Williams","Mary","R.","1930 Almondwood Drive",,,,"Camacho","Zacatecas","89939","Mexico",27,"696-555-7759","324-555-4238",1927/10/17 00:00:00,"M","$50K - $70K","M",0,0,"Bachelors Degree",1994/5/4 00:00:00,"Bronze","Professional","N",3
49,87902239561.00,"Burke","Terri","L.","9752 Jeanne Circle",,,,"Arcadia","CA","41297","USA",51,"770-555-6738","266-555-2074",1930/12/2 00:00:00,"S","$30K - $50K","F",4,0,"High School Degree",1992/4/20 00:00:00,"Bronze","Skilled Manual","N",2
50,87910291552.00,"Osborn","Audrey","H.","9539 Glenside Dr",,,,"Altadena","CA","43412","USA",50,"119-555-4116","715-555-5480",1922/3/9 00:00:00,"S","$110K - $130K","M",4,0,"Partial High School",1993/6/3 00:00:00,"Bronze","Professional","Y",4
51,87923139333.00,"Binai","Brian","C.","7616 Honey Court",,,,"Oakland","CA","33639","USA",37,"216-555-1723","920-555-5602",1955/5/2 00:00:00,"M","$90K - $110K","F",4,2,"Graduate Degree",1993/12/5 00:00:00,"Bronze","Professional","N",3
52,87939313100.00,"Lozada","Concepcion",,"7657 H St.",,,,"Tixapan","DF","19185","Mexico",107,"727-555-1388","731-555-2295",1912/9/4 00:00:00,"S","$70K - $90K","F",3,0,"Bachelors Degree",1994/3/19 00:00:00,"Silver","Professional","N",2
53,87952010600.00,"Tays","Paul",,"5988 Red Leaf",,,,"Oak Bay","BC","83595","Canada",99,"298-555-3541","409-555-6962",1932/12/24 00:00:00,"M","$70K - $90K","M",4,2,"Graduate Degree",1993/7/10 00:00:00,"Normal","Management","Y",4
54,87954998600.00,"Thorton","Cheryl",,"8938 West Hookston Road",,,,"Metchosin","BC","18033","Canada",104,"832-555-1834","244-555-2284",1961/9/24 00:00:00,"S","$30K - $50K","F",0,0,"Partial College",1992/7/24 00:00:00,"Bronze","Professional","Y",3
55,87961350083.00,"Dumin","Gary",,"181 Gainsborough Drive",,,,"Grossmont","CA","39583","USA",17,"313-555-9355","733-555-3320",1924/2/8 00:00:00,"M","$10K - $30K","M",3,2,"Partial High School",1992/3/10 00:00:00,"Normal","Skilled Manual","Y",1
56,87965223193.00,"Chin","Pat","M.","3385 Crestview Drive",,,,"Imperial Beach","CA","39182","USA",14,"871-555-6277","829-555-9927",1935/11/21 00:00:00,"S","$10K - $30K","M",3,0,"Partial High School",1990/4/11 00:00:00,"Normal","Manual","N",2
57,87978752300.00,"Lovell","Zach",,"6912 Laguna St.",,,,"San Andres","DF","26893","Mexico",106,"375-555-3427","201-555-5934",1960/12/10 00:00:00,"S","$10K - $30K","M",3,0,"Partial High School",1991/5/15 00:00:00,"Golden","Manual","Y",0
58,87986992001.00,"Ratcliff","Dave","A.","371 Ahneita Dr.",,,,"Oakland","CA","65362","USA",37,"294-555-2634","560-555-5827",1956/4/4 00:00:00,"S","$30K - $50K","F",3,0,"Partial High School",1992/11/24 00:00:00,"Bronze","Skilled Manual","N",3
59,88010123400.00,"Moss","Elizabeth",,"4776 Kentucky Drive",,,,"Burnaby","BC","70204","Canada",92,"721-555-7412","855-555-9462",1942/6/1 00:00:00,"M","$30K - $50K","M",5,5,"High School Degree",1993/3/19 00:00:00,"Bronze","Manual","Y",3
60,88018041300.00,"Anderson","Lori","M.","1145 Paraiso Ct.",,,,"Langley","BC","74834","Canada",94,"663-555-5248","336-555-7984",1914/2/2 00:00:00,"S","$30K - $50K","M",3,0,"Partial College",1990/9/4 00:00:00,"Silver","Skilled Manual","Y",3
61,88049879074.00,"Everson","Michael","A.","3148 Rose Street",,,,"Tacoma","WA","93868","USA",84,"451-555-3312","894-555-4905",1945/2/15 00:00:00,"M","$70K - $90K","M",1,0,"Bachelors Degree",1991/2/26 00:00:00,"Bronze","Professional","N",1
62,88067190100.00,"Borden","Mary","A.","2427 Notre Dame Ave.",,,,"Santa Monica","CA","64660","USA",49,"656-555-3434","636-555-5712",1931/6/25 00:00:00,"M","$30K - $50K","M",1,1,"High School Degree",1991/5/12 00:00:00,"Golden","Skilled Manual","Y",2
63,88081979800.00,"Willson","Sue",,"7340 Green St.",,,,"Tlaxiaco","Oaxaca","49856","Mexico",30,"467-555-9127","317-555-1262",1916/10/13 00:00:00,"S","$70K - $90K","F",4,0,"Bachelors Degree",1992/6/4 00:00:00,"Bronze","Professional","N",2
64,88084045052.00,"Harris","Clayton","J.","6872 Thornwood Dr.",,,,"Beaverton","OR","85809","USA",67,"814-555-9899","203-555-2721",1932/8/13 00:00:00,"S","$10K - $30K","M",4,0,"Partial High School",1993/2/26 00:00:00,"Normal","Manual","Y",2
65,88096334934.00,"Contreras","Whitney","L.","2040 Encino Drive",,,,"Metchosin","BC","37167","Canada",104,"648-555-5221","145-555-9556",1979/9/7 00:00:00,"M","$90K - $110K","F",0,0,"Partial College",1990/11/23 00:00:00,"Normal","Management","Y",3
66,88112406730.00,"Pusedu","Boyd","A.","1826 Corte Del Sol",,,,"Metchosin","BC","39282","Canada",104,"898-555-2599","833-555-7621",1933/8/11 00:00:00,"M","$110K - $130K","F",4,4,"Partial College",1992/9/3 00:00:00,"Silver","Professional","Y",2
67,88115072846.00,"Stedman","Cian","F.","9903 East Leland",,,,"Westminster","BC","55800","Canada",91,"994-555-9206","799-555-4085",1928/7/1 00:00:00,"M","$30K - $50K","M",3,1,"Partial College",1991/1/3 00:00:00,"Bronze","Skilled Manual","Y",3
68,88118441700.00,"Zocchi","Michele","A.","9943 Stonehedge Dr.",,,,"Hidalgo","Zacatecas","24077","Mexico",25,"606-555-8871","610-555-9778",1917/7/27 00:00:00,"S","$30K - $50K","F",0,0,"High School Degree",1993/11/13 00:00:00,"Silver","Manual","Y",1
69,88137775063.00,"Walsh","Jean","M.","931 Corte De Luna",,,,"Los Angeles","CA","79465","USA",3,"725-555-5106","837-555-8528",1969/6/17 00:00:00,"M","$10K - $30K","M",1,1,"Partial High School",1991/3/12 00:00:00,"Normal","Skilled Manual","Y",1
70,88144207000.00,"Renfro","Leopoldo","E.","1226 Shoenic",,,,"Coronado","CA","13903","USA",8,"360-555-3399","910-555-7506",1972/3/26 00:00:00,"M","$30K - $50K","M",0,0,"High School Degree",1991/7/13 00:00:00,"Bronze","Manual","Y",1
71,88161163926.00,"Brockett","Donna","A.","2467 Clearland Circle",,,,"La Cruz","Sinaloa","61745","Mexico",29,"741-555-1921","260-555-4885",1967/4/8 00:00:00,"S","$10K - $30K","M",5,0,"Partial High School",1990/11/20 00:00:00,"Normal","Manual","N",1
72,88161249756.00,"Anderson","Laurie","A.","5671 Bel Air Dr.",,,,"Shawnee","BC","35052","Canada",105,"398-555-7842","356-555-2492",1940/9/17 00:00:00,"M","$10K - $30K","F",5,5,"Partial High School",1992/12/3 00:00:00,"Normal","Skilled Manual","Y",2
73,88168829679.00,"Gomez","Louis","C.","7166 Brock Lane",,,,"Yakima","WA","49055","USA",89,"802-555-4992","629-555-7499",1925/2/28 00:00:00,"M","$30K - $50K","F",4,3,"High School Degree",1992/10/7 00:00:00,"Golden","Skilled Manual","Y",3
74,88172026872.00,"Walker","Julie","L.","3281 Hillview Dr.",,,,"Ballard","WA","87524","USA",20,"722-555-4199","987-555-7392",1965/4/3 00:00:00,"S","$50K - $70K","M",3,0,"Bachelors Degree",1992/3/24 00:00:00,"Bronze","Professional","Y",3
75,88182830810.00,"Jones","Jay","W.","5030 Blue Ridge Dr.",,,,"Lynnwood","WA","35227","USA",75,"248-555-8978","383-555-2028",1913/3/25 00:00:00,"S","$30K - $50K","F",3,0,"High School Degree",1990/3/17 00:00:00,"Bronze","Manual","N",3
76,88185078501.00,"Winfrey","Gayle","J.","1399 Firestone Drive",,,,"Port Orchard","WA","66150","USA",77,"191-555-6813","764-555-9549",1917/6/23 00:00:00,"S","$70K - $90K","F",1,0,"High School Degree",1994/5/26 00:00:00,"Normal","Professional","N",1
77,88203880800.00,"Brown","Yasmina",,"6058 Hill Street","#4",,,"Downey","CA","85184","USA",58,"569-555-5452","351-555-1703",1921/6/17 00:00:00,"S","$50K - $70K","M",2,0,"Bachelors Degree",1992/6/18 00:00:00,"Normal","Professional","Y",4
78,88243577480.00,"Touchstone","Joseph","A. C.","2681 Eagle Peak",,,,"Salem","OR","55976","USA",23,"774-555-5574","754-555-7853",1940/6/24 00:00:00,"M","$10K - $30K","M",1,1,"Partial High School",1994/5/2 00:00:00,"Silver","Manual","Y",1
79,88249907493.00,"Bakhtyari","Mary","J.","7594 Alexander Pl.",,,,"Tacoma","WA","41172","USA",84,"585-555-2267","435-555-3403",1957/7/10 00:00:00,"S","$70K - $90K","M",2,0,"Bachelors Degree",1994/6/2 00:00:00,"Bronze","Management","Y",4
80,88262524604.00,"Glass","Melvin","W.","7126 Edie Ct.",,,,"Lemon Grove","CA","77125","USA",12,"812-555-1017","200-555-2838",1946/4/18 00:00:00,"S","$70K - $90K","F",1,0,"Bachelors Degree",1992/11/11 00:00:00,"Bronze","Management","Y",4
81,88265968561.00,"Cohen","Kristin","S.","2294 West 39th St.",,,,"Milwaukie","OR","28482","USA",65,"646-555-5338","143-555-9674",1944/10/25 00:00:00,"S","$10K - $30K","M",2,0,"Partial High School",1990/5/5 00:00:00,"Normal","Skilled Manual","Y",2
82,88275710344.00,"Kharman","Susan",,"2080 Sycamore Drive",,,,"Richmond","CA","30597","USA",35,"896-555-2717","831-555-7738",1941/8/10 00:00:00,"S","$10K - $30K","F",4,0,"Partial High School",1993/3/23 00:00:00,"Normal","Skilled Manual","Y",1
83,88284432888.00,"Kirschner","Gordon","R.","158 Walnut Ave",,,,"Arcadia","CA","47116","USA",51,"331-555-3981","796-555-4203",1969/3/24 00:00:00,"S","$110K - $130K","F",3,0,"Partial High School",1994/2/20 00:00:00,"Golden","Management","Y",2
84,88304206132.00,"Burger","William","W.","2854 Magda Way",,,,"Haney","BC","88099","Canada",93,"604-555-8988","608-555-9895",1932/3/5 00:00:00,"S","$50K - $70K","M",4,0,"Bachelors Degree",1994/8/27 00:00:00,"Bronze","Professional","N",3
85,88346847891.00,"Blau","Lana","L.","1185 Dallis Drive",,,,"Novato","CA","70780","USA",42,"723-555-5224","835-555-8645",1946/10/19 00:00:00,"M","$30K - $50K","M",3,3,"High School Degree",1993/8/24 00:00:00,"Golden","Skilled Manual","Y",3
86,88352523400.00,"Derby","Donna",,"8154 Via Mexico",,,,"Bremerton","WA","52198","USA",76,"358-555-3517","908-555-7624",1911/3/25 00:00:00,"S","$30K - $50K","M",4,0,"Partial High School",1992/11/6 00:00:00,"Normal","Skilled Manual","Y",4
87,88355388045.00,"Thomson","Kathleen","K.","6740 Jalisco",,,,"N. Vancouver","BC","26768","Canada",97,"739-555-2038","258-555-5003",1949/4/15 00:00:00,"S","$70K - $90K","F",4,0,"High School Degree",1992/9/26 00:00:00,"Bronze","Management","N",3
88,88380010700.00,"Walton","Gabriel",,"2601 Cambridge Drive",,,,"Milwaukie","OR","26367","USA",65,"396-555-7960","466-555-4870",1943/2/11 00:00:00,"S","$30K - $50K","F",2,0,"High School Degree",1992/9/18 00:00:00,"Bronze","Manual","N",4
89,88386346101.00,"Meastas","Bishop",,"4096 San Remo",,,,"Woodland Hills","CA","14079","USA",62,"912-555-7369","739-555-9877",1974/10/6 00:00:00,"S","$70K - $90K","F",4,0,"High School Degree",1992/4/16 00:00:00,"Bronze","Management","N",2
90,88386882543.00,"Kouba","Geneva",,"7554 Lakeview Pl.",,,,"Sooke","BC","78839","Canada",101,"832-555-6577","197-555-9770",1976/10/5 00:00:00,"M","$70K - $90K","F",2,2,"High School Degree",1993/2/19 00:00:00,"Bronze","Professional","Y",3
91,88397842049.00,"Clark","Tricia","F.","1960 Via Catanzaro",,,,"Long Beach","CA","32712","USA",48,"597-555-6013","732-555-8063",1956/4/24 00:00:00,"M","$50K - $70K","M",1,1,"Bachelors Degree",1990/12/20 00:00:00,"Bronze","Professional","N",1
92,88398657441.00,"Munn","Debi",,"5672 Hale Dr.",,,,"Arcadia","CA","61730","USA",51,"540-555-3848","874-555-2927",1934/8/3 00:00:00,"M","$30K - $50K","M",4,2,"High School Degree",1993/5/7 00:00:00,"Bronze","Skilled Manual","Y",4
93,88416295647.00,"Goldberg","Patricia",,"332 Laguna Niguel",,,,"Woodburn","OR","80763","USA",69,"989-555-7255","770-555-3505",1970/3/22 00:00:00,"M","$130K - $150K","M",5,4,"Bachelors Degree",1993/5/8 00:00:00,"Golden","Professional","Y",3
94,88416842818.00,"Magenheim","Susan","L.","6954 Garcia Ranch Road",,,,"Vancouver","BC","77848","Canada",5,"293-555-7377","274-555-9655",1939/9/15 00:00:00,"S","$10K - $30K","M",1,0,"Partial High School",1993/12/15 00:00:00,"Normal","Skilled Manual","Y",1
95,88426868915.00,"Hance","Nancy","D.","4523 Via Cortez",,,,"Tlaxiaco","Oaxaca","63043","Mexico",30,"471-555-9125","320-555-1260",1930/9/9 00:00:00,"S","$130K - $150K","F",2,0,"Graduate Degree",1991/9/13 00:00:00,"Silver","Professional","Y",2
96,88445172309.00,"Mehlert","Rhonda","L.","1400 Gibrix Drive",,,,"Beaverton","OR","98996","USA",67,"698-555-7875","986-555-9696",1951/3/15 00:00:00,"S","$50K - $70K","M",0,0,"Bachelors Degree",1990/10/18 00:00:00,"Normal","Management","Y",2
97,88470690800.00,"Duran","Paula",,"9222 Roseann Drive","#59",,,"Richmond","BC","50354","Canada",90,"532-555-3196","928-555-7532",1923/8/3 00:00:00,"M","$50K - $70K","M",4,4,"High School Degree",1992/4/21 00:00:00,"Golden","Skilled Manual","Y",2
98,88486376400.00,"Earley","Margaret",,"9009 W 46th St",,,,"Richmond","BC","52469","Canada",90,"121-555-4232","717-555-5596",1952/3/12 00:00:00,"M","$130K - $150K","F",1,1,"High School Degree",1990/9/7 00:00:00,"Bronze","Management","Y",3
99,88506181836.00,"Horne","Elizabeth",,"7086 O St.",,,,"Port Orchard","WA","42696","USA",77,"217-555-1839","682-555-2060",1934/4/9 00:00:00,"S","$30K - $50K","F",3,0,"Bachelors Degree",1992/5/28 00:00:00,"Bronze","Professional","N",2
100,88506991900.00,"Hunt","Mary",,"7127 Morengo Court",,,,"San Jose","CA","10972","USA",39,"490-555-6846","493-555-7753",1929/12/14 00:00:00,"M","$90K - $110K","F",2,2,"Partial High School",1990/8/6 00:00:00,"Silver","Professional","Y",3
101,88507222533.00,"Allen","Libby",,"5458 Encino Drive",,,,"N. Vancouver","BC","92652","Canada",97,"848-555-6739","721-555-6503",1975/4/26 00:00:00,"S","$10K - $30K","F",1,0,"Partial High School",1993/7/16 00:00:00,"Normal","Manual","N",1
